#EPIC,    ra,        dec,      Kp,   list
60018353, 357.63845, -2.06617777778, 10.08, hot_stars
60018355, 353.634091667, -1.90405305556, 10.09, hot_stars
60018357, 4.21959583333, -0.995622222222, 10.09, hot_stars
60018358, 353.583350833, 0.201379166667, 10.09, hot_stars
60018359, 359.71582, -4.28806138889, 10.1, hot_stars
60018361, 0.193245, 2.05225194444, 10.1, hot_stars
60018365, 354.812213333, -5.94990666667, 10.12, hot_stars
60018369, 358.750634583, -2.40197055556, 10.14, hot_stars
60018371, 359.340167917, 0.688872222222, 10.14, hot_stars
60018372, 354.85850875, -3.47610916667, 10.15, hot_stars
60018374, 0.96077875, 0.775658333333, 10.15, hot_stars
60018376, 359.99288625, -7.80907555556, 10.16, hot_stars
60018377, 2.12710125, 4.47171416667, 10.16, hot_stars
60018378, 359.896158333, 2.25265166667, 10.16, hot_stars
60018380, 355.49749125, -7.62123611111, 10.17, hot_stars
60018381, 356.5774525, 0.565475, 10.18, hot_stars
60018382, 357.538597083, -4.40645111111, 10.18, hot_stars
60018383, 2.24334583333, -0.256452777778, 10.18, hot_stars
60018394, 354.03319875, -6.23220777778, 10.22, hot_stars
60018395, 359.053912083, 3.95078805556, 10.22, hot_stars
60018396, 5.15390708333, -5.52049888889, 10.22, hot_stars
60018398, 357.122371667, 3.23414138889, 10.22, hot_stars
60018400, 357.943945417, -5.51088611111, 10.23, hot_stars
60018403, 353.66618225, -1.50582491667, 10.24, hot_stars
60018410, 5.39501333333, -2.04397166667, 10.26, hot_stars
60018413, 358.811120833, -5.24223333333, 10.29, hot_stars
60018414, 0.546572916667, 0.473268888889, 10.29, hot_stars
60018416, 4.79322875, 0.171006944444, 10.3, hot_stars
60018417, 0.0385666666667, 1.28949472222, 10.3, hot_stars
60018418, 353.16649875, -5.16947222222, 10.31, hot_stars
60018419, 4.54922375, -2.19569111111, 10.32, hot_stars
60018424, 0.665715833333, 3.30502944444, 10.34, hot_stars
60018425, 358.117010417, -1.16623222222, 10.34, hot_stars
60018427, 1.82424541667, -7.13156611111, 10.35, hot_stars
60018428, 355.785745, -3.86377472222, 10.36, hot_stars
60018429, 352.739117917, 1.02044861111, 10.36, hot_stars
60018430, 356.594685417, -3.45078694444, 10.36, hot_stars
60018432, 358.0889925, -5.26562833333, 10.36, hot_stars
60018433, 354.37986875, 3.15478694444, 10.36, hot_stars
60018434, 359.091916667, 0.851654722222, 10.37, hot_stars
60018435, 5.16398875, -5.14313944444, 10.37, hot_stars
60018436, 4.34357666667, -3.71077888889, 10.38, hot_stars
